,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Hour
8906,Saturday,Above 50,Male,Junior high school,Employee,2-5yr,Other,Governmental,Above 10yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,18
8907,Saturday,Above 50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,1-2yr,No defect,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,2,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,16
8908,Saturday,18-30,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,2,Going straight,Pedestrian,Male,Under 18,3,Driver,Normal,Crossing from driver's nearside,Overtaking,16
8909,Saturday,18-30,Male,Unknown,,Unknown,Stationwagen,Owner,Below 1yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,18-30,3,Employee,Normal,Not a Pedestrian,Other,12
8910,Saturday,18-30,Male,Elementary school,Owner,Above 10yr,Automobile,Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,Normal,Not a Pedestrian,Driving to the left,12
8911,Monday,18-30,Male,Unknown,,Unknown,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,23
8912,Monday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Governmental,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,Male,18-30,2,,,Not a Pedestrian,No priority to vehicle,23
8913,Monday,31-50,Male,Junior high school,Owner,Above 10yr,,Owner,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Passenger,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,23
8914,Tuesday,Above 50,Male,High school,Owner,Above 10yr,,Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Other,17
8915,Monday,18-30,Male,Unknown,,Unknown,Pick up upto 10Q,Owner,Unknown,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,17
8916,Monday,18-30,Male,Elementary school,Employee,5-10yr,Turbo,Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,No priority to pedestrian,17
8917,Sunday,31-50,Male,Elementary school,Owner,Above 10yr,Pick up upto 10Q,Owner,Unknown,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,19
8918,Sunday,Above 50,Male,Junior high school,Owner,Below 1yr,Other,Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Changing lane to the right,19
8919,Thursday,Under 18,Male,Junior high school,Owner,2-5yr,Stationwagen,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,na,na,na,na,,,Not a Pedestrian,Changing lane to the right,19
8920,Thursday,31-50,Male,Junior high school,Owner,2-5yr,Pick up upto 10Q,Owner,Unknown,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving to the left,19
8921,Tuesday,31-50,Male,High school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Driver or rider,Male,18-30,3,Employee,Normal,Not a Pedestrian,Changing lane to the left,16
8922,Tuesday,Under 18,Male,Junior high school,Owner,Unknown,Lorry (41?100Q),Owner,Above 10yr,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Reversing,Driver or rider,Female,18-30,3,Other,Normal,Not a Pedestrian,Moving Backward,16
8923,Tuesday,Under 18,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,3,Other,na,na,na,na,Employee,Normal,Not a Pedestrian,Driving at high speed,16
8924,Tuesday,Under 18,Male,Elementary school,Owner,2-5yr,Automobile,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,na,na,na,na,,,Not a Pedestrian,Moving Backward,16
8925,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,,Unknown,,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Employee,Normal,Not a Pedestrian,No distancing,12
8926,Sunday,31-50,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,2,Moving Backward,Passenger,Female,31-50,3,,,Not a Pedestrian,Other,18
8927,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,2,Reversing,na,na,na,na,Employee,Normal,Not a Pedestrian,No priority to vehicle,18
8928,Sunday,18-30,Male,High school,Employee,Above 10yr,Public (12 seats),Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Female,31-50,3,Employee,Normal,Not a Pedestrian,Changing lane to the right,18
8929,Thursday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,Above 10yr,No defect, Church areas,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,Employee,Normal,Not a Pedestrian,Other,16
8930,Thursday,18-30,Male,Elementary school,Employee,1-2yr,Stationwagen,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,16
8931,Saturday,18-30,Male,Junior high school,Employee,Unknown,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,0
8932,Saturday,18-30,Male,Above high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Going straight,Driver or rider,Male,Under 18,3,Student,Normal,Not a Pedestrian,No distancing,0
8933,Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,0
8934,Saturday,18-30,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No distancing,0
8935,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect, Church areas,Undivided Two way,Sharp reverse curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Going straight,na,na,na,na,,,Not a Pedestrian,Moving Backward,0
8936,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,Above 10yr,No defect,Office areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,No priority to pedestrian,15
8937,Wednesday,31-50,Male,Unknown,,Unknown,Automobile,Owner,5-10yrs,No defect,Other,Double carriageway (median),Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,,Passenger,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,15
8938,Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,Male,5,3,Driver,Normal,Not a Pedestrian,No distancing,15
8939,Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,No defect, Church areas,Unknown,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Reversing,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Other,15
8940,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,,Owner,1-2yr,,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,15
8941,Sunday,Above 50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),,Unknown,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,31-50,3,,,Not a Pedestrian,No priority to pedestrian,15
8942,Sunday,18-30,Male,Above high school,Owner,1-2yr,Lorry (41?100Q),Owner,Above 10yr,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,2,Driver,Normal,Not a Pedestrian,Moving Backward,9
8943,Sunday,Above 50,Male,Above high school,Employee,No Licence,Automobile,Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,9
8944,Sunday,Above 50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Above 10yr,, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,No distancing,15
8945,Sunday,Above 50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Governmental,1-2yr,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,15
8946,Thursday,Above 50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Governmental,Above 10yr,,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,15
8947,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Organization,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Male,31-50,3,Other,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Getting off the vehicle improperly,15
8948,Tuesday,31-50,Male,Junior high school,Owner,5-10yr,Public (12 seats),Organization,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Other,Pedestrian,Female,18-30,3,,,Not a Pedestrian,Driving carelessly,2
8949,Tuesday,31-50,Male,Elementary school,Employee,2-5yr,Public (12 seats),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,2
8950,Monday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,na,na,na,na,Other,Normal,Not a Pedestrian,No priority to vehicle,7
8951,Monday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Changing lane to the right,7
8952,Monday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect, Church areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Changing lane to the right,7
8953,Wednesday,Unknown,Female,Junior high school,Employee,2-5yr,,Owner,1-2yr,No defect,,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,14
8954,Wednesday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Above 10yr,,  Market areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,,Passenger,Female,31-50,3,,,Not a Pedestrian,No distancing,14
8955,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Above 10yr,,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,14
8956,Tuesday,Above 50,Male,Unknown,,Unknown,,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Pedestrian,Male,31-50,3,Driver,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the right,15
8957,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,15
